pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,pixel220,pixel221,pixel222,pixel223,pixel224,pixel225,pixel226,pixel227,pixel228,pixel229,pixel230,pixel231,pixel232,pixel233,pixel234,pixel235,pixel236,pixel237,pixel238,pixel239,pixel240,pixel241,pixel242,pixel243,pixel244,pixel245,pixel246,pixel247,pixel248,pixel249,pixel250,pixel251,pixel252,pixel253,pixel254,pixel255,pixel256,pixel257,pixel258,pixel259,pixel260,pixel261,pixel262,pixel263,pixel264,pixel265,pixel266,pixel267,pixel268,pixel269,pixel270,pixel271,pixel272,pixel273,pixel274,pixel275,pixel276,pixel277,pixel278,pixel279,pixel280,pixel281,pixel282,pixel283,pixel284,pixel285,pixel286,pixel287,pixel288,pixel289,pixel290,pixel291,pixel292,pixel293,pixel294,pixel295,pixel296,pixel297,pixel298,pixel299,pixel300,pixel301,pixel302,pixel303,pixel304,pixel305,pixel306,pixel307,pixel308,pixel309,pixel310,pixel311,pixel312,pixel313,pixel314,pixel315,pixel316,pixel317,pixel318,pixel319,pixel320,pixel321,pixel322,pixel323,pixel324,pixel325,pixel326,pixel327,pixel328,pixel329,pixel330,pixel331,pixel332,pixel333,pixel334,pixel335,pixel336,pixel337,pixel338,pixel339,pixel340,pixel341,pixel342,pixel343,pixel344,pixel345,pixel346,pixel347,pixel348,pixel349,pixel350,pixel351,pixel352,pixel353,pixel354,pixel355,pixel356,pixel357,pixel358,pixel359,pixel360,pixel361,pixel362,pixel363,pixel364,pixel365,pixel366,pixel367,pixel368,pixel369,pixel370,pixel371,pixel372,pixel373,pixel374,pixel375,pixel376,pixel377,pixel378,pixel379,pixel380,pixel381,pixel382,pixel383,pixel384,pixel385,pixel386,pixel387,pixel388,pixel389,pixel390,pixel391,pixel392,pixel393,pixel394,pixel395,pixel396,pixel397,pixel398,pixel399,target
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,110,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,203,194,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,162,245,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,255,168,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,187,231,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,255,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,204,238,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,242,171,0,0,0,58,122,50,0,0,0,0,0,0,0,0,0,0,0,121,254,130,0,0,71,231,255,202,16,0,0,0,0,0,0,0,0,0,6,177,253,88,0,55,218,248,218,255,50,0,0,0,0,0,0,0,0,0,3,171,252,72,5,208,242,107,173,230,23,0,0,0,0,0,0,0,0,0,0,109,255,172,142,255,203,155,252,102,0,0,0,0,0,0,0,0,0,0,0,10,188,255,255,254,255,254,154,21,0,0,0,0,0,0,0,0,0,0,0,0,34,164,239,255,255,162,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,165,136,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,238,255,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,243,162,129,239,99,0,0,0,0,0,0,0,0,0,0,0,0,0,9,157,117,0,0,127,211,35,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,9,197,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,162,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,191,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,215,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,48,175,126,1,0,0,0,0,0,0,0,0,0,0,0,0,33,107,171,214,234,246,76,0,0,0,0,0,0,0,0,0,0,0,0,55,222,245,201,228,255,213,202,39,0,0,0,0,0,0,0,0,0,0,22,192,229,77,54,215,134,15,79,25,0,0,0,0,0,0,0,0,0,0,57,238,79,54,220,155,7,0,0,0,0,0,0,0,0,0,0,0,0,0,68,212,130,228,169,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,221,227,112,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,34,37,36,15,3,0,0,0,0,0,0,0,0,0,0,0,0,57,148,193,255,255,255,198,157,70,0,0,0,0,0,0,0,0,0,0,14,182,244,175,117,118,121,200,235,235,150,34,0,0,0,0,0,0,0,0,1,49,35,2,0,0,0,4,24,162,249,162,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,222,255,65,0,0,0,0,0,0,0,0,0,0,0,13,16,15,31,88,192,251,126,8,0,0,0,0,0,0,0,0,0,20,112,188,196,193,219,251,195,103,9,0,0,0,0,0,0,0,0,0,0,29,202,255,255,255,255,219,69,0,0,0,0,0,0,0,0,0,0,0,0,0,30,55,101,163,210,255,233,144,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,117,214,255,149,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,163,245,134,5,0,0,0,0,0,0,0,0,47,94,9,0,0,0,0,0,0,195,220,23,0,0,0,0,0,0,0,2,164,238,83,5,0,0,2,15,69,216,192,12,0,0,0,0,0,0,0,2,143,247,250,210,140,152,181,234,252,240,108,0,0,0,0,0,0,0,0,0,21,88,134,174,234,254,191,175,156,76,12,0,0,0,0,0,0,0,0,0,0,0,0,7,26,33,13,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,185,149,148,173,180,156,147,120,71,14,0,0,0,0,0,0,0,0,0,71,98,79,64,42,80,112,152,200,235,205,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,204,248,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,216,203,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,251,185,40,42,44,16,0,0,0,0,0,0,0,0,0,10,83,125,153,215,255,226,178,175,154,45,0,0,0,0,0,0,0,0,0,10,111,122,90,161,255,135,27,25,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,114,255,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,255,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,158,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,36,82,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,167,231,226,253,215,126,23,0,0,0,0,0,0,0,0,0,0,53,144,255,246,230,231,230,248,253,185,36,0,0,0,0,0,0,0,0,0,112,247,163,57,26,27,27,68,192,252,79,0,0,0,0,0,0,0,0,0,49,62,0,0,0,0,0,0,112,244,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,255,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,69,225,222,41,0,0,0,0,0,0,0,0,0,0,0,0,0,44,194,144,230,255,114,4,0,0,0,0,0,0,0,0,0,0,0,0,0,56,233,255,255,255,235,165,132,136,138,120,0,0,0,0,0,0,0,0,0,6,53,92,148,207,206,214,250,222,217,132,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,63,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,145,128,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,247,255,228,89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,213,203,255,232,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,26,147,253,148,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,184,247,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,255,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,241,146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,212,204,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,87,243,111,1,0,0,0,0,0,0,0,0,4,50,102,162,105,92,54,68,189,250,66,0,0,0,0,0,0,0,0,0,87,231,255,255,255,255,232,246,255,239,66,0,0,0,0,0,0,0,0,29,210,255,198,162,194,250,255,255,255,255,206,56,1,0,0,0,0,0,0,3,167,255,187,148,174,244,255,248,129,132,223,240,103,4,0,0,0,0,0,0,78,255,255,255,255,247,165,84,0,0,43,200,228,28,0,0,0,0,0,0,10,128,184,125,101,45,1,0,0,0,0,24,145,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,109,109,73,35,22,0,0,0,0,0,0,0,0,0,0,0,0,0,19,199,255,255,244,216,192,145,126,29,0,0,0,0,0,0,0,0,0,0,11,140,194,195,236,255,255,255,255,134,1,0,0,0,0,0,0,0,0,0,0,0,3,6,58,171,255,252,255,147,1,0,0,0,0,0,0,0,0,0,0,0,0,16,134,237,255,255,205,60,0,0,0,0,0,0,0,0,0,0,0,0,34,199,252,234,180,124,34,0,0,0,0,0,0,0,0,0,0,0,0,0,62,255,248,89,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,255,255,207,106,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,131,223,255,255,205,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,139,218,255,244,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,244,255,223,7,0,0,0,0,0,0,0,0,0,0,3,22,73,125,193,238,255,255,142,2,0,0,0,0,0,0,0,0,2,98,186,214,252,255,255,242,206,115,14,0,0,0,0,0,0,0,0,0,9,233,255,251,219,220,170,75,27,0,0,0,0,0,0,0,0,0,0,0,3,89,131,112,24,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,76,3,0,0,0,0,0,0,0,0,0,0,0,51,111,0,0,0,32,221,245,49,0,0,0,0,0,0,0,0,0,0,24,196,228,0,0,0,37,230,255,81,0,0,0,0,0,0,0,0,0,0,103,255,169,0,0,0,5,189,255,64,0,0,0,0,0,0,0,0,0,3,214,229,40,0,0,0,0,177,255,61,0,0,0,0,0,0,0,0,0,39,253,210,19,0,0,0,0,176,255,61,0,0,0,0,0,0,0,0,0,88,255,160,0,0,0,0,23,218,255,62,0,0,0,0,0,0,0,0,4,102,255,198,56,14,6,6,129,252,253,62,0,0,0,0,0,0,0,0,5,51,192,255,235,186,167,160,249,254,238,52,0,0,0,0,0,0,0,0,0,0,27,123,223,254,255,255,255,255,202,28,0,0,0,0,0,0,0,0,0,0,0,0,32,78,114,110,165,255,192,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,255,156,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,242,215,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,213,226,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,172,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,44,50,28,28,13,25,27,11,39,18,0,0,0,0,0,0,0,0,0,84,226,236,205,204,184,203,204,178,221,168,4,0,0,0,0,0,0,0,4,157,255,255,255,255,240,245,255,255,255,231,8,0,0,0,0,0,0,0,28,210,252,163,98,100,40,60,99,110,234,227,8,0,0,0,0,0,0,0,70,250,227,40,0,0,0,0,0,47,242,222,8,0,0,0,0,0,0,0,60,161,110,15,0,0,0,0,0,99,255,194,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,184,255,199,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,246,248,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,255,156,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,200,250,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,255,183,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,255,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,227,254,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,253,204,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,254,113,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86,203,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,118,243,172,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,139,234,106,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,141,245,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,240,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,196,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,255,206,134,104,57,0,0,0,0,0,0,0,0,0,0,0,0,0,25,237,237,141,184,254,226,55,0,0,0,0,0,0,0,0,0,0,0,0,2,227,158,0,2,66,224,165,0,0,0,0,0,0,0,0,0,0,0,0,14,222,106,0,0,0,136,172,1,0,0,0,0,0,0,0,0,0,0,0,42,228,97,0,0,0,160,165,1,0,0,0,0,0,0,0,0,0,0,0,36,228,95,0,0,46,235,93,0,0,0,0,0,0,0,0,0,0,0,0,2,212,180,25,47,201,180,14,0,0,0,0,0,0,0,0,0,0,0,0,0,65,224,233,230,184,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,84,72,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
