id,dataset,tokens,layers,input_shape,num_classes,convs,maxpools,relu_neurons,pool_windows,params,epochs,train_acc,test_acc,onnx_top1,onnx_top5,onnx_vs_torch_mismatch,onnx_rel_diff,onnx_ops,train_seconds,onnx
S1,imagenette,c8s2,Conv8/2 - FC32 - FC,3x64x64,10,1,0,8224,0,262898,60,0.7098,0.6239,0.6239,0.9340,0,1.82e-05,Conv Flatten Gemm Relu,33,S1.onnx
P1,imagenette,c8s2 p,Conv8/2 - MaxPool - FC32 - FC,3x64x64,10,1,1,8224,2048,66290,60,0.7156,0.6489,0.6489,0.9350,0,1.44e-05,Conv Flatten Gemm MaxPool Relu,31,P1.onnx
S2,imagenette,c8s2 c16s2,Conv8/2 - Conv16/2 - FC32 - FC,3x64x64,10,2,0,12320,0,133890,60,0.7990,0.6762,0.6762,0.9531,0,6.62e-06,Conv Flatten Gemm Relu,37,S2.onnx
P2,imagenette,c8s2 p c16 p,Conv8/2 - MaxPool - Conv16 - MaxPool - FC32 - FC,3x64x64,10,2,2,12320,3072,34690,60,0.7791,0.7019,0.7019,0.9493,0,7.33e-06,Conv Flatten Gemm MaxPool Relu,36,P2.onnx
S3,imagenette,c8s2 c16s2 c16,Conv8/2 - Conv16/2 - Conv16 - FC32 - FC,3x64x64,10,3,0,16416,0,136210,60,0.8380,0.7195,0.7195,0.9582,0,8.90e-06,Conv Flatten Gemm Relu,41,S3.onnx
P3,imagenette,c8s2 p c16 c16 p,Conv8/2 - MaxPool - Conv16 - Conv16 - MaxPool - FC32 - FC,3x64x64,10,3,2,16416,3072,37010,60,0.8045,0.7139,0.7139,0.9536,0,9.83e-06,Conv Flatten Gemm MaxPool Relu,39,P3.onnx
S4,imagenette,c8s2 c8 c16s2 c16,Conv8/2 - Conv8 - Conv16/2 - Conv16 - FC32 - FC,3x64x64,10,4,0,24608,0,136794,60,0.8342,0.7287,0.7287,0.9557,0,7.93e-06,Conv Flatten Gemm Relu,48,S4.onnx
P4,imagenette,c8s2 c8 p c16 c16 p,Conv8/2 - Conv8 - MaxPool - Conv16 - Conv16 - MaxPool - FC32 - FC,3x64x64,10,4,2,24608,3072,37594,60,0.8085,0.7345,0.7345,0.9600,0,8.17e-06,Conv Flatten Gemm MaxPool Relu,47,P4.onnx
S6,imagenette,c8s2 c8 c16s2 c16 c32s2 c32,Conv8/2 - Conv8 - Conv16/2 - Conv16 - Conv32/2 - Conv32 - FC32 - FC,3x64x64,10,6,0,28704,0,88730,60,0.8905,0.7590,0.7590,0.9676,0,6.53e-06,Conv Flatten Gemm Relu,57,S6.onnx
P6,imagenette,c8s2 c8 p c16 c16 p c32 c32 p,Conv8/2 - Conv8 - MaxPool - Conv16 - Conv16 - MaxPool - Conv32 - Conv32 - MaxPool - FC32 - FC,3x64x64,10,6,3,28704,3584,35098,60,0.8512,0.7625,0.7625,0.9699,0,7.21e-06,Conv Flatten Gemm MaxPool Relu,53,P6.onnx
S8,imagenette,c8s2 c8 c8 c16s2 c16 c16 c32s2 c32,Conv8/2 - Conv8 - Conv8 - Conv16/2 - Conv16 - Conv16 - Conv32/2 - Conv32 - FC32 - FC,3x64x64,10,8,0,40992,0,91634,60,0.8802,0.7595,0.7595,0.9666,0,1.03e-05,Conv Flatten Gemm Relu,67,S8.onnx
P8,imagenette,c8s2 c8 c8 p c16 c16 c16 p c32 c32 p,Conv8/2 - Conv8 - Conv8 - MaxPool - Conv16 - Conv16 - Conv16 - MaxPool - Conv32 - Conv32 - MaxPool - FC32 - FC,3x64x64,10,8,3,40992,3584,38002,60,0.8499,0.7590,0.7590,0.9704,0,1.14e-05,Conv Flatten Gemm MaxPool Relu,65,P8.onnx
